planName,skillLevel,goal,equipment,durationMinutes,focus,exercises
Intermediate Stamina Plan #107,Intermediate,Stamina,Gym,15,Stamina,Assault Bike;Circuit Training;Rowing Machine
Intermediate Stamina Plan #108,Intermediate,Stamina,None,15,Stamina,Assault Bike;Circuit Training;Rowing Machine
Beginner Endurance Plan #109,Beginner,Endurance,Gym,20,Endurance,Jogging;Jumping Jacks;Rowing Machine
Beginner Fat Loss Plan #110,Beginner,Fat Loss,Kettlebell,30,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Beginner Fat Loss Plan #111,Beginner,Fat Loss,None,30,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Beginner Stamina Plan #112,Beginner,Stamina,Gym,20,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Beginner Fat Loss Plan #113,Beginner,Fat Loss,Kettlebell,25,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Beginner Stamina Plan #114,Beginner,Stamina,None,35,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Beginner Power Plan #115,Beginner,Power,Kettlebell,35,Power,Default Exercises;Go Here
Intermediate Power Plan #116,Intermediate,Power,None,15,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Beginner Endurance Plan #117,Beginner,Endurance,None,20,Endurance,Jogging;Jumping Jacks;Rowing Machine
Pro Fat Loss Plan #118,Pro,Fat Loss,None,25,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Intermediate Endurance Plan #119,Intermediate,Endurance,Kettlebell,15,Endurance,Interval Running;Cycling;Swimming
Intermediate Stamina Plan #120,Intermediate,Stamina,None,25,Stamina,Assault Bike;Circuit Training;Rowing Machine
Beginner Endurance Plan #121,Beginner,Endurance,Kettlebell,40,Endurance,Jogging;Jumping Jacks;Rowing Machine
Beginner Stamina Plan #122,Beginner,Stamina,Gym,20,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Pro Endurance Plan #123,Pro,Endurance,Kettlebell,30,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Beginner Power Plan #124,Beginner,Power,Kettlebell,25,Power,Default Exercises;Go Here
Beginner Fat Loss Plan #125,Beginner,Fat Loss,None,40,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Fat Loss Plan #126,Pro,Fat Loss,None,20,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Pro Power Plan #127,Pro,Power,Gym,35,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Pro Endurance Plan #128,Pro,Endurance,None,15,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Beginner Stamina Plan #129,Beginner,Stamina,Kettlebell,15,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Beginner Fat Loss Plan #130,Beginner,Fat Loss,Gym,40,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Beginner Endurance Plan #131,Beginner,Endurance,Gym,40,Endurance,Jogging;Jumping Jacks;Rowing Machine
Pro Endurance Plan #132,Pro,Endurance,None,30,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Intermediate Endurance Plan #133,Intermediate,Endurance,Kettlebell,40,Endurance,Interval Running;Cycling;Swimming
Pro Stamina Plan #134,Pro,Stamina,Kettlebell,30,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Pro Endurance Plan #135,Pro,Endurance,Gym,30,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Pro Power Plan #136,Pro,Power,None,35,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Intermediate Stamina Plan #137,Intermediate,Stamina,Gym,20,Stamina,Assault Bike;Circuit Training;Rowing Machine
Beginner Stamina Plan #138,Beginner,Stamina,Kettlebell,35,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Pro Power Plan #139,Pro,Power,Gym,40,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Pro Endurance Plan #140,Pro,Endurance,None,15,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Beginner Power Plan #141,Beginner,Power,Kettlebell,30,Power,Default Exercises;Go Here
Beginner Power Plan #142,Beginner,Power,Kettlebell,15,Power,Default Exercises;Go Here
Beginner Endurance Plan #143,Beginner,Endurance,None,15,Endurance,Jogging;Jumping Jacks;Rowing Machine
Beginner Fat Loss Plan #144,Beginner,Fat Loss,Gym,25,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Beginner Stamina Plan #145,Beginner,Stamina,Gym,25,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Beginner Power Plan #146,Beginner,Power,None,40,Power,Default Exercises;Go Here
Beginner Stamina Plan #147,Beginner,Stamina,None,25,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Intermediate Stamina Plan #148,Intermediate,Stamina,Kettlebell,15,Stamina,Assault Bike;Circuit Training;Rowing Machine
Intermediate Power Plan #149,Intermediate,Power,Gym,25,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Intermediate Power Plan #150,Intermediate,Power,Gym,25,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Pro Power Plan #151,Pro,Power,Gym,20,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Pro Power Plan #152,Pro,Power,Gym,40,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Beginner Fat Loss Plan #153,Beginner,Fat Loss,None,25,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Beginner Fat Loss Plan #154,Beginner,Fat Loss,Gym,25,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Beginner Endurance Plan #155,Beginner,Endurance,None,20,Endurance,Jogging;Jumping Jacks;Rowing Machine
Pro Endurance Plan #156,Pro,Endurance,None,35,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Beginner Power Plan #157,Beginner,Power,None,15,Power,Default Exercises;Go Here
Beginner Endurance Plan #158,Beginner,Endurance,Gym,30,Endurance,Jogging;Jumping Jacks;Rowing Machine
Intermediate Stamina Plan #159,Intermediate,Stamina,Gym,25,Stamina,Assault Bike;Circuit Training;Rowing Machine
Beginner Fat Loss Plan #160,Beginner,Fat Loss,Kettlebell,35,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Fat Loss Plan #161,Pro,Fat Loss,Kettlebell,20,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Pro Power Plan #162,Pro,Power,Kettlebell,30,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Pro Power Plan #163,Pro,Power,None,30,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Pro Endurance Plan #164,Pro,Endurance,Kettlebell,20,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Pro Stamina Plan #165,Pro,Stamina,None,30,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Beginner Stamina Plan #166,Beginner,Stamina,Gym,40,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Beginner Power Plan #167,Beginner,Power,Gym,35,Power,Default Exercises;Go Here
Pro Endurance Plan #168,Pro,Endurance,Gym,15,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Intermediate Fat Loss Plan #169,Intermediate,Fat Loss,None,25,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Pro Stamina Plan #170,Pro,Stamina,Kettlebell,35,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Pro Endurance Plan #171,Pro,Endurance,None,40,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Pro Endurance Plan #172,Pro,Endurance,Gym,15,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Beginner Power Plan #173,Beginner,Power,Gym,20,Power,Default Exercises;Go Here
Intermediate Power Plan #174,Intermediate,Power,Gym,25,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Pro Endurance Plan #175,Pro,Endurance,Gym,20,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Beginner Fat Loss Plan #176,Beginner,Fat Loss,None,15,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Power Plan #177,Pro,Power,Gym,30,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Beginner Stamina Plan #178,Beginner,Stamina,Kettlebell,40,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Pro Endurance Plan #179,Pro,Endurance,Gym,30,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Intermediate Fat Loss Plan #180,Intermediate,Fat Loss,None,30,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Intermediate Fat Loss Plan #181,Intermediate,Fat Loss,Kettlebell,30,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Beginner Endurance Plan #182,Beginner,Endurance,Gym,35,Endurance,Jogging;Jumping Jacks;Rowing Machine
Beginner Fat Loss Plan #183,Beginner,Fat Loss,Kettlebell,25,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Intermediate Fat Loss Plan #184,Intermediate,Fat Loss,Kettlebell,15,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Pro Endurance Plan #185,Pro,Endurance,None,30,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Beginner Stamina Plan #186,Beginner,Stamina,Kettlebell,30,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Beginner Power Plan #187,Beginner,Power,None,40,Power,Default Exercises;Go Here
Beginner Endurance Plan #188,Beginner,Endurance,None,40,Endurance,Jogging;Jumping Jacks;Rowing Machine
Pro Stamina Plan #189,Pro,Stamina,None,15,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Intermediate Endurance Plan #190,Intermediate,Endurance,Gym,35,Endurance,Interval Running;Cycling;Swimming
Intermediate Endurance Plan #191,Intermediate,Endurance,Kettlebell,15,Endurance,Interval Running;Cycling;Swimming
Beginner Fat Loss Plan #192,Beginner,Fat Loss,None,20,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Power Plan #193,Pro,Power,Kettlebell,30,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Intermediate Stamina Plan #194,Intermediate,Stamina,None,40,Stamina,Assault Bike;Circuit Training;Rowing Machine
Intermediate Power Plan #195,Intermediate,Power,None,20,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Beginner Power Plan #196,Beginner,Power,Kettlebell,35,Power,Default Exercises;Go Here
Pro Fat Loss Plan #197,Pro,Fat Loss,None,30,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Intermediate Fat Loss Plan #198,Intermediate,Fat Loss,None,40,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Intermediate Power Plan #199,Intermediate,Power,None,25,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Intermediate Power Plan #200,Intermediate,Power,Gym,20,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Beginner Fat Loss Plan #201,Beginner,Fat Loss,Gym,35,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Intermediate Power Plan #202,Intermediate,Power,None,30,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Pro Power Plan #203,Pro,Power,None,35,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Intermediate Power Plan #204,Intermediate,Power,None,35,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Intermediate Endurance Plan #205,Intermediate,Endurance,Kettlebell,40,Endurance,Interval Running;Cycling;Swimming
Beginner Stamina Plan #206,Beginner,Stamina,Gym,15,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Pro Endurance Plan #207,Pro,Endurance,Kettlebell,20,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Intermediate Endurance Plan #208,Intermediate,Endurance,Kettlebell,15,Endurance,Interval Running;Cycling;Swimming
Beginner Power Plan #209,Beginner,Power,None,20,Power,Default Exercises;Go Here
Pro Fat Loss Plan #210,Pro,Fat Loss,None,40,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Intermediate Fat Loss Plan #211,Intermediate,Fat Loss,Gym,15,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Pro Stamina Plan #212,Pro,Stamina,Kettlebell,20,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Beginner Fat Loss Plan #213,Beginner,Fat Loss,None,35,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Intermediate Endurance Plan #214,Intermediate,Endurance,None,35,Endurance,Interval Running;Cycling;Swimming
Beginner Fat Loss Plan #215,Beginner,Fat Loss,Kettlebell,35,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Stamina Plan #216,Pro,Stamina,None,30,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Pro Endurance Plan #217,Pro,Endurance,Gym,15,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Beginner Fat Loss Plan #218,Beginner,Fat Loss,Gym,20,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Fat Loss Plan #219,Pro,Fat Loss,None,35,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Pro Stamina Plan #220,Pro,Stamina,Kettlebell,40,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Pro Endurance Plan #221,Pro,Endurance,Kettlebell,30,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Pro Stamina Plan #222,Pro,Stamina,Kettlebell,25,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Beginner Stamina Plan #223,Beginner,Stamina,Gym,30,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Pro Power Plan #224,Pro,Power,Kettlebell,15,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Intermediate Power Plan #225,Intermediate,Power,Gym,25,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Beginner Power Plan #226,Beginner,Power,Kettlebell,20,Power,Default Exercises;Go Here
Beginner Fat Loss Plan #227,Beginner,Fat Loss,Gym,40,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Intermediate Fat Loss Plan #228,Intermediate,Fat Loss,Kettlebell,40,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Intermediate Stamina Plan #229,Intermediate,Stamina,Kettlebell,20,Stamina,Assault Bike;Circuit Training;Rowing Machine
