planName,skillLevel,goal,equipment,durationMinutes,focus,exercises
Intermediate Stamina Plan #111,Intermediate,Stamina,None,30,Stamina,CrossFit WOD;Swimming Intervals;AMRAP Workouts;Cycling Intervals;Leg Swings
Intermediate Stamina Plan #112,Intermediate,Stamina,None,20,Stamina,Assault Bike;Circuit Training;Rowing Machine;Tabata Intervals;CrossFit WOD
Pro Power Plan #113,Pro,Power,Kettlebell,15,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups;Power Cleans;Wall Ball Throws
Beginner Fat Loss Plan #114,Beginner,Fat Loss,Kettlebell,15,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks;HIIT Sprints;Burpees
Pro Stamina Plan #115,Pro,Stamina,Kettlebell,40,Stamina,CrossFit WOD;Cycling Intervals;Interval Running;Stair Running;Shuttle Runs;EMOM Workouts
Pro Fat Loss Plan #116,Pro,Fat Loss,Gym,15,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees;Sprint Burpees;Power Snatches
Intermediate Power Plan #117,Intermediate,Power,Gym,35,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams;Plyometric Push-ups;Thruster Jumps
Pro Fat Loss Plan #118,Pro,Fat Loss,None,40,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees;Sprint Burpees;Power Snatches
Pro Power Plan #119,Pro,Power,Kettlebell,15,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups;Power Cleans;Wall Ball Throws
Pro Power Plan #120,Pro,Power,None,20,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups;Power Cleans;Wall Ball Throws
Beginner Power Plan #121,Beginner,Power,Gym,35,Power,Thruster Jumps;Clapping Push-ups;Jumping Jacks;Box Jumps;Plyometric Push-ups
Beginner Fat Loss Plan #122,Beginner,Fat Loss,Kettlebell,40,Fat Loss,High Knees;Jump Rope Intervals;Assault Bike Sprints;Sprint Intervals;Power Snatches
Intermediate Fat Loss Plan #123,Intermediate,Fat Loss,None,15,Fat Loss,HIIT Sprints;Battle Ropes;Burpees;Assault Bike Sprints;Jump Rope Intervals
Intermediate Power Plan #124,Intermediate,Power,Kettlebell,30,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams;Plyometric Push-ups;Thruster Jumps
Pro Power Plan #125,Pro,Power,None,15,Power,Jump Squats;Jumping Burpees;Heavy Kettlebell Swings;Thruster Jumps;Box Jumps
Pro Stamina Plan #126,Pro,Stamina,Kettlebell,15,Stamina,HIIT Circuit;EMOM Workouts;Fartlek Training;Full Body Circuit;Circuit Training;Cycling Intervals
Intermediate Fat Loss Plan #127,Intermediate,Fat Loss,Gym,15,Fat Loss,HIIT Sprints;Battle Ropes;Burpees;Assault Bike Sprints;Jump Rope Intervals
Beginner Endurance Plan #128,Beginner,Endurance,Gym,15,Endurance,Jumping Jacks;Jogging;Rowing Machine;Cycling;Walking
Beginner Fat Loss Plan #129,Beginner,Fat Loss,None,35,Fat Loss,Battle Ropes;Power Snatches;Jump Rope Intervals;HIIT Sprints;Mountain Climbers
Beginner Power Plan #130,Beginner,Power,Kettlebell,25,Power,Burpees;Tuck Jumps;Bodyweight Squats;Jump Squats;Explosive Lunges
Beginner Power Plan #131,Beginner,Power,Gym,40,Power,Wall Ball Throws;Explosive Lunges;Jumping Jacks;Arm Circles
Pro Power Plan #132,Pro,Power,Kettlebell,35,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups;Power Cleans;Wall Ball Throws
Pro Power Plan #133,Pro,Power,Kettlebell,20,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups;Power Cleans;Wall Ball Throws
Intermediate Fat Loss Plan #134,Intermediate,Fat Loss,Kettlebell,40,Fat Loss,HIIT Sprints;Battle Ropes;Burpees;Assault Bike Sprints;Jump Rope Intervals
Pro Stamina Plan #135,Pro,Stamina,Gym,40,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps;EMOM Workouts;AMRAP Workouts
Pro Endurance Plan #136,Pro,Endurance,Gym,25,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints;Rowing Intervals;Cross Trainer
Intermediate Power Plan #137,Intermediate,Power,Gym,30,Power,Plyometric Lunges;Single Leg Hops;Arm Circles;Jumping Jacks;Tuck Jumps
Pro Fat Loss Plan #138,Pro,Fat Loss,Kettlebell,30,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees;Sprint Burpees;Power Snatches
Beginner Fat Loss Plan #139,Beginner,Fat Loss,Gym,30,Fat Loss,Arm Circles;Sprint Burpees;Mountain Climbers;Rowing Sprints;Power Snatches
Pro Stamina Plan #140,Pro,Stamina,None,40,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps;EMOM Workouts;AMRAP Workouts
Pro Endurance Plan #141,Pro,Endurance,None,30,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints;Rowing Intervals;Cross Trainer
Beginner Fat Loss Plan #142,Beginner,Fat Loss,None,35,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks;HIIT Sprints;Burpees
Intermediate Power Plan #143,Intermediate,Power,Gym,20,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams;Plyometric Push-ups;Thruster Jumps
Intermediate Stamina Plan #144,Intermediate,Stamina,None,40,Stamina,Assault Bike;Circuit Training;Rowing Machine;Tabata Intervals;CrossFit WOD
Beginner Fat Loss Plan #145,Beginner,Fat Loss,Kettlebell,20,Fat Loss,Burpees;Mountain Climbers;Sprint Burpees;Power Snatches;High Knees
Pro Stamina Plan #146,Pro,Stamina,Kettlebell,30,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps;EMOM Workouts;AMRAP Workouts
Beginner Fat Loss Plan #147,Beginner,Fat Loss,None,15,Fat Loss,Assault Bike Sprints;Sprint Burpees;Kettlebell Swings;Power Snatches;Rowing Sprints
Intermediate Endurance Plan #148,Intermediate,Endurance,Kettlebell,20,Endurance,Interval Running;Cycling;Swimming;Rowing Machine;Elliptical Trainer
Pro Power Plan #149,Pro,Power,None,15,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups;Power Cleans;Wall Ball Throws
Intermediate Power Plan #150,Intermediate,Power,Kettlebell,35,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams;Plyometric Push-ups;Thruster Jumps
Pro Power Plan #151,Pro,Power,Gym,30,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups;Power Cleans;Wall Ball Throws
Beginner Endurance Plan #152,Beginner,Endurance,Kettlebell,40,Endurance,Jumping Jacks;Jogging;Rowing Machine;Cycling;Walking
Pro Stamina Plan #153,Pro,Stamina,Gym,30,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps;EMOM Workouts;AMRAP Workouts
Beginner Power Plan #154,Beginner,Power,Gym,20,Power,Burpees;Tuck Jumps;Bodyweight Squats;Jump Squats;Explosive Lunges
Beginner Endurance Plan #155,Beginner,Endurance,None,25,Endurance,Jumping Jacks;Jogging;Rowing Machine;Cycling;Walking
Pro Power Plan #156,Pro,Power,Kettlebell,15,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups;Power Cleans;Wall Ball Throws
Beginner Power Plan #157,Beginner,Power,None,25,Power,Burpees;Tuck Jumps;Bodyweight Squats;Jump Squats;Explosive Lunges
Pro Fat Loss Plan #158,Pro,Fat Loss,Gym,40,Fat Loss,Power Snatches;Intense Battle Ropes;Battle Ropes;Sprint Burpees;Sprint Intervals;Mountain Climbers
Pro Power Plan #159,Pro,Power,Gym,20,Power,Dumbbell Snatches;Single Leg Hops;Thruster Jumps;Box Jumps;Advanced Box Jumps;Explosive Lunges
Pro Power Plan #160,Pro,Power,Kettlebell,20,Power,Explosive Lunges;Box Jumps;Single Leg Hops;Leg Swings;Kettlebell Swings
Pro Stamina Plan #161,Pro,Stamina,Kettlebell,40,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps;EMOM Workouts;AMRAP Workouts
Pro Fat Loss Plan #162,Pro,Fat Loss,None,25,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees;Sprint Burpees;Power Snatches
Beginner Endurance Plan #163,Beginner,Endurance,Kettlebell,20,Endurance,Walking;Stair Climber;Brisk Walking;Rowing Machine
Pro Endurance Plan #164,Pro,Endurance,Kettlebell,40,Endurance,Cycling;Arm Circles;Swimming;Jogging;Cycling Sprints;Pool Swimming
Beginner Endurance Plan #165,Beginner,Endurance,Gym,20,Endurance,Torso Twists;Brisk Walking;Jumping Jacks;Treadmill Running;Jogging
Intermediate Stamina Plan #166,Intermediate,Stamina,Gym,25,Stamina,Assault Bike;Circuit Training;Rowing Machine;Tabata Intervals;CrossFit WOD
Intermediate Fat Loss Plan #167,Intermediate,Fat Loss,Kettlebell,25,Fat Loss,HIIT Sprints;Battle Ropes;Burpees;Assault Bike Sprints;Jump Rope Intervals
Intermediate Stamina Plan #168,Intermediate,Stamina,Gym,25,Stamina,Assault Bike;Circuit Training;Rowing Machine;Tabata Intervals;CrossFit WOD
Pro Endurance Plan #169,Pro,Endurance,Kettlebell,40,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints;Rowing Intervals;Cross Trainer
Pro Fat Loss Plan #170,Pro,Fat Loss,Gym,30,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees;Sprint Burpees;Power Snatches
Intermediate Endurance Plan #171,Intermediate,Endurance,Gym,30,Endurance,Stair Climber;Cycling;Arm Circles;Treadmill Running;Neck Rolls
Pro Fat Loss Plan #172,Pro,Fat Loss,Gym,35,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees;Sprint Burpees;Power Snatches
Beginner Endurance Plan #173,Beginner,Endurance,Kettlebell,25,Endurance,Jumping Jacks;Jogging;Rowing Machine;Cycling;Walking
Intermediate Stamina Plan #174,Intermediate,Stamina,None,15,Stamina,Assault Bike;Circuit Training;Rowing Machine;Tabata Intervals;CrossFit WOD
Intermediate Stamina Plan #175,Intermediate,Stamina,Gym,35,Stamina,Assault Bike;Circuit Training;Rowing Machine;Tabata Intervals;CrossFit WOD
Intermediate Endurance Plan #176,Intermediate,Endurance,Kettlebell,35,Endurance,Interval Running;Cycling;Swimming;Rowing Machine;Elliptical Trainer
Intermediate Power Plan #177,Intermediate,Power,Gym,40,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams;Plyometric Push-ups;Thruster Jumps
Intermediate Stamina Plan #178,Intermediate,Stamina,None,25,Stamina,Assault Bike;Fartlek Training;Rowing Intervals;EMOM Workouts;AMRAP Workouts;Cycling Intervals
