planName,skillLevel,goal,equipment,durationMinutes,focus,exercises
Pro Fat Loss Plan #96,Pro,Fat Loss,None,25,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Pro Endurance Plan #97,Pro,Endurance,None,30,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Intermediate Fat Loss Plan #98,Intermediate,Fat Loss,None,30,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Pro Fat Loss Plan #99,Pro,Fat Loss,Gym,15,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Beginner Fat Loss Plan #100,Beginner,Fat Loss,Gym,25,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Beginner Stamina Plan #101,Beginner,Stamina,Gym,20,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Beginner Power Plan #102,Beginner,Power,None,20,Power,Default Exercises;Go Here
Beginner Stamina Plan #103,Beginner,Stamina,Kettlebell,20,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Intermediate Fat Loss Plan #104,Intermediate,Fat Loss,None,20,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Beginner Fat Loss Plan #105,Beginner,Fat Loss,Kettlebell,25,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Endurance Plan #106,Pro,Endurance,Gym,15,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Beginner Power Plan #107,Beginner,Power,None,15,Power,Default Exercises;Go Here
Beginner Fat Loss Plan #108,Beginner,Fat Loss,Gym,35,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Intermediate Endurance Plan #109,Intermediate,Endurance,Kettlebell,35,Endurance,Interval Running;Cycling;Swimming
Pro Stamina Plan #110,Pro,Stamina,None,30,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Intermediate Fat Loss Plan #111,Intermediate,Fat Loss,Kettlebell,30,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Intermediate Fat Loss Plan #112,Intermediate,Fat Loss,Kettlebell,40,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Intermediate Endurance Plan #113,Intermediate,Endurance,None,30,Endurance,Interval Running;Cycling;Swimming
Intermediate Power Plan #114,Intermediate,Power,Gym,35,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Intermediate Power Plan #115,Intermediate,Power,Kettlebell,15,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Pro Stamina Plan #116,Pro,Stamina,Kettlebell,20,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Beginner Power Plan #117,Beginner,Power,None,25,Power,Default Exercises;Go Here
Beginner Endurance Plan #118,Beginner,Endurance,None,40,Endurance,Jogging;Jumping Jacks;Rowing Machine
Intermediate Endurance Plan #119,Intermediate,Endurance,None,25,Endurance,Interval Running;Cycling;Swimming
Pro Power Plan #120,Pro,Power,Gym,30,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Beginner Endurance Plan #121,Beginner,Endurance,Kettlebell,35,Endurance,Jogging;Jumping Jacks;Rowing Machine
Pro Fat Loss Plan #122,Pro,Fat Loss,None,15,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Intermediate Endurance Plan #123,Intermediate,Endurance,Gym,20,Endurance,Interval Running;Cycling;Swimming
Intermediate Power Plan #124,Intermediate,Power,Gym,40,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Intermediate Endurance Plan #125,Intermediate,Endurance,Gym,20,Endurance,Interval Running;Cycling;Swimming
Pro Endurance Plan #126,Pro,Endurance,Kettlebell,35,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Pro Fat Loss Plan #127,Pro,Fat Loss,Gym,15,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Beginner Stamina Plan #128,Beginner,Stamina,None,40,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Intermediate Power Plan #129,Intermediate,Power,None,20,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Beginner Fat Loss Plan #130,Beginner,Fat Loss,Kettlebell,35,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Power Plan #131,Pro,Power,Kettlebell,30,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Beginner Endurance Plan #132,Beginner,Endurance,None,30,Endurance,Jogging;Jumping Jacks;Rowing Machine
Beginner Stamina Plan #133,Beginner,Stamina,None,40,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Pro Fat Loss Plan #134,Pro,Fat Loss,None,25,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Pro Endurance Plan #135,Pro,Endurance,None,15,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Intermediate Stamina Plan #136,Intermediate,Stamina,Gym,15,Stamina,Assault Bike;Circuit Training;Rowing Machine
Beginner Stamina Plan #137,Beginner,Stamina,Kettlebell,20,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Intermediate Power Plan #138,Intermediate,Power,Kettlebell,15,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Intermediate Power Plan #139,Intermediate,Power,Gym,40,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Beginner Fat Loss Plan #140,Beginner,Fat Loss,None,20,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Intermediate Stamina Plan #141,Intermediate,Stamina,Gym,15,Stamina,Assault Bike;Circuit Training;Rowing Machine
Intermediate Endurance Plan #142,Intermediate,Endurance,Gym,20,Endurance,Interval Running;Cycling;Swimming
Intermediate Stamina Plan #143,Intermediate,Stamina,Kettlebell,15,Stamina,Assault Bike;Circuit Training;Rowing Machine
Beginner Fat Loss Plan #144,Beginner,Fat Loss,Kettlebell,30,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Intermediate Stamina Plan #145,Intermediate,Stamina,Kettlebell,40,Stamina,Assault Bike;Circuit Training;Rowing Machine
Intermediate Power Plan #146,Intermediate,Power,Kettlebell,20,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Pro Fat Loss Plan #147,Pro,Fat Loss,Gym,25,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Beginner Fat Loss Plan #148,Beginner,Fat Loss,Gym,30,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Beginner Fat Loss Plan #149,Beginner,Fat Loss,None,20,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Beginner Power Plan #150,Beginner,Power,Gym,25,Power,Default Exercises;Go Here
Intermediate Stamina Plan #151,Intermediate,Stamina,Kettlebell,30,Stamina,Assault Bike;Circuit Training;Rowing Machine
Beginner Fat Loss Plan #152,Beginner,Fat Loss,None,25,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Intermediate Fat Loss Plan #153,Intermediate,Fat Loss,Gym,30,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Intermediate Fat Loss Plan #154,Intermediate,Fat Loss,Kettlebell,40,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Pro Fat Loss Plan #155,Pro,Fat Loss,Kettlebell,20,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Beginner Stamina Plan #156,Beginner,Stamina,Gym,25,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Pro Fat Loss Plan #157,Pro,Fat Loss,None,30,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Pro Endurance Plan #158,Pro,Endurance,Gym,40,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Beginner Power Plan #159,Beginner,Power,Kettlebell,20,Power,Default Exercises;Go Here
Beginner Endurance Plan #160,Beginner,Endurance,Gym,30,Endurance,Jogging;Jumping Jacks;Rowing Machine
Beginner Endurance Plan #161,Beginner,Endurance,None,30,Endurance,Jogging;Jumping Jacks;Rowing Machine
Intermediate Endurance Plan #162,Intermediate,Endurance,Gym,40,Endurance,Interval Running;Cycling;Swimming
Beginner Stamina Plan #163,Beginner,Stamina,Kettlebell,35,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Pro Stamina Plan #164,Pro,Stamina,Kettlebell,40,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Intermediate Stamina Plan #165,Intermediate,Stamina,Kettlebell,15,Stamina,Assault Bike;Circuit Training;Rowing Machine
Pro Stamina Plan #166,Pro,Stamina,Gym,30,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Beginner Fat Loss Plan #167,Beginner,Fat Loss,Kettlebell,30,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Stamina Plan #168,Pro,Stamina,Gym,30,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Intermediate Power Plan #169,Intermediate,Power,Kettlebell,30,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Beginner Endurance Plan #170,Beginner,Endurance,None,15,Endurance,Jogging;Jumping Jacks;Rowing Machine
Intermediate Stamina Plan #171,Intermediate,Stamina,None,25,Stamina,Assault Bike;Circuit Training;Rowing Machine
Pro Endurance Plan #172,Pro,Endurance,Gym,25,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Intermediate Fat Loss Plan #173,Intermediate,Fat Loss,Kettlebell,25,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Intermediate Power Plan #174,Intermediate,Power,Gym,20,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Beginner Stamina Plan #175,Beginner,Stamina,None,20,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Beginner Fat Loss Plan #176,Beginner,Fat Loss,Kettlebell,30,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Endurance Plan #177,Pro,Endurance,Gym,35,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Intermediate Endurance Plan #178,Intermediate,Endurance,Kettlebell,15,Endurance,Interval Running;Cycling;Swimming
Pro Fat Loss Plan #179,Pro,Fat Loss,Kettlebell,25,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Beginner Fat Loss Plan #180,Beginner,Fat Loss,Kettlebell,25,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Beginner Stamina Plan #181,Beginner,Stamina,None,15,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Pro Power Plan #182,Pro,Power,None,30,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Pro Power Plan #183,Pro,Power,Gym,15,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Beginner Fat Loss Plan #184,Beginner,Fat Loss,Kettlebell,20,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Pro Power Plan #185,Pro,Power,None,35,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Beginner Endurance Plan #186,Beginner,Endurance,None,25,Endurance,Jogging;Jumping Jacks;Rowing Machine
Pro Stamina Plan #187,Pro,Stamina,Gym,30,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Pro Power Plan #188,Pro,Power,Gym,35,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Beginner Power Plan #189,Beginner,Power,None,30,Power,Default Exercises;Go Here
Intermediate Endurance Plan #190,Intermediate,Endurance,Gym,20,Endurance,Interval Running;Cycling;Swimming
Beginner Stamina Plan #191,Beginner,Stamina,Kettlebell,15,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Beginner Power Plan #192,Beginner,Power,Gym,40,Power,Default Exercises;Go Here
Intermediate Fat Loss Plan #193,Intermediate,Fat Loss,None,30,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Pro Power Plan #194,Pro,Power,Kettlebell,15,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Beginner Power Plan #195,Beginner,Power,None,15,Power,Default Exercises;Go Here
Beginner Stamina Plan #196,Beginner,Stamina,None,20,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Intermediate Fat Loss Plan #197,Intermediate,Fat Loss,Gym,15,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Intermediate Power Plan #198,Intermediate,Power,Gym,25,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Pro Fat Loss Plan #199,Pro,Fat Loss,Gym,40,Fat Loss,Intense Battle Ropes;Assault Bike Sprints;Weighted Burpees
Pro Stamina Plan #200,Pro,Stamina,Kettlebell,20,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Pro Power Plan #201,Pro,Power,None,25,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Beginner Fat Loss Plan #202,Beginner,Fat Loss,Gym,15,Fat Loss,High Knees;Mountain Climbers;Jumping Jacks
Intermediate Fat Loss Plan #203,Intermediate,Fat Loss,Kettlebell,15,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Beginner Power Plan #204,Beginner,Power,None,30,Power,Default Exercises;Go Here
Pro Stamina Plan #205,Pro,Stamina,Kettlebell,20,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Pro Stamina Plan #206,Pro,Stamina,None,25,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Intermediate Power Plan #207,Intermediate,Power,Gym,20,Power,Box Jumps;Kettlebell Swings;Medicine Ball Slams
Intermediate Stamina Plan #208,Intermediate,Stamina,Gym,40,Stamina,Assault Bike;Circuit Training;Rowing Machine
Beginner Power Plan #209,Beginner,Power,Gym,15,Power,Default Exercises;Go Here
Pro Stamina Plan #210,Pro,Stamina,None,25,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Pro Power Plan #211,Pro,Power,Kettlebell,35,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Intermediate Fat Loss Plan #212,Intermediate,Fat Loss,Gym,30,Fat Loss,HIIT Sprints;Battle Ropes;Burpees
Beginner Stamina Plan #213,Beginner,Stamina,None,25,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Pro Endurance Plan #214,Pro,Endurance,Kettlebell,30,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Intermediate Stamina Plan #215,Intermediate,Stamina,None,15,Stamina,Assault Bike;Circuit Training;Rowing Machine
Pro Power Plan #216,Pro,Power,Kettlebell,15,Power,Advanced Box Jumps;Heavy Kettlebell Swings;Plyometric Push-ups
Intermediate Endurance Plan #217,Intermediate,Endurance,Gym,40,Endurance,Interval Running;Cycling;Swimming
Intermediate Stamina Plan #218,Intermediate,Stamina,Gym,25,Stamina,Assault Bike;Circuit Training;Rowing Machine
Intermediate Stamina Plan #219,Intermediate,Stamina,Kettlebell,40,Stamina,Assault Bike;Circuit Training;Rowing Machine
Pro Stamina Plan #220,Pro,Stamina,None,35,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Beginner Power Plan #221,Beginner,Power,Kettlebell,20,Power,Default Exercises;Go Here
Intermediate Endurance Plan #222,Intermediate,Endurance,None,20,Endurance,Interval Running;Cycling;Swimming
Pro Endurance Plan #223,Pro,Endurance,Kettlebell,40,Endurance,Intense Swimming Intervals;Long Distance Running;Cycling Sprints
Pro Stamina Plan #224,Pro,Stamina,None,25,Stamina,Full Body Circuit Training;Advanced Stair Climber;Heavy Rope Jumps
Beginner Stamina Plan #225,Beginner,Stamina,Gym,40,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Beginner Stamina Plan #226,Beginner,Stamina,Kettlebell,25,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Beginner Endurance Plan #227,Beginner,Endurance,None,40,Endurance,Jogging;Jumping Jacks;Rowing Machine
Beginner Endurance Plan #228,Beginner,Endurance,Kettlebell,20,Endurance,Jogging;Jumping Jacks;Rowing Machine
Beginner Endurance Plan #229,Beginner,Endurance,None,25,Endurance,Jogging;Jumping Jacks;Rowing Machine
Beginner Stamina Plan #230,Beginner,Stamina,Gym,40,Stamina,Jump Rope;Stair Climber;Shuttle Runs
Intermediate Stamina Plan #231,Intermediate,Stamina,None,25,Stamina,Assault Bike;Circuit Training;Rowing Machine
Intermediate Stamina Plan #232,Intermediate,Stamina,Gym,25,Stamina,Assault Bike;Circuit Training;Rowing Machine
